City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,82.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Atuona,PF,78.28,few clouds,-9.8,-139.0333,Villa Enata
4,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
6,Rikitea,PF,73.11,few clouds,-23.1203,-134.9692,People ThankYou
7,Hermanus,ZA,51.91,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
9,Mar Del Plata,AR,55.13,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
13,Chumphon,TH,72.43,overcast clouds,10.3333,98.8333,สกาน จ๋า.
15,Mataura,NZ,54.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
17,Qeshm,IR,86.23,scattered clouds,26.9581,56.2719,Qeshm Kavan Hotel
18,Katsuura,JP,73.51,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
19,Port Elizabeth,ZA,51.1,light rain,-33.918,25.5701,39 On Nile Guest House
20,Cap-Aux-Meules,CA,52.32,overcast clouds,47.3821,-61.8597,Auberge Madeli
21,Souillac,MU,71.37,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
23,Jamestown,US,64.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
24,Constitucion,CL,51.8,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
26,Sinnamary,GF,80.87,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
27,Vila Franca Do Campo,PT,74.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
28,Saint-Pierre,RE,69.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
31,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
32,Hithadhoo,MV,82.58,few clouds,-0.6,73.0833,Scoop Guest House
33,Bethel,US,67.57,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
36,Guerrero Negro,MX,82.53,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
37,Alofi,NU,78.69,light rain,-19.0595,-169.9187,Taloa Heights
38,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
39,Chuy,UY,54.5,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
40,Hvide Sande,DK,58.08,moderate rain,56.0045,8.1294,Hvide Sande Hotel
43,Mount Gambier,AU,55.31,light rain,-37.8333,140.7667,The Commodore
44,Busselton,AU,54.05,overcast clouds,-33.65,115.3333,Observatory Guest House
46,Odweyne,SO,73.72,light rain,9.4092,45.064,Eng Hiirey House
51,Naze,JP,79.12,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
52,Hobyo,SO,77.97,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
54,Morondava,MG,73.76,clear sky,-20.2833,44.2833,La Case Bambou
55,Kavieng,PG,84.24,broken clouds,-2.5744,150.7967,Nusa Island Retreat
56,Soyo,AO,74.66,broken clouds,-6.1349,12.3689,Hotel Mpampa
58,Buarcos,PT,67.82,overcast clouds,40.166,-8.8768,Hotel Sweet Atlantic SPA
60,Bahir Dar,ET,59.02,light rain,11.5936,37.3908,"Delano Hotel, Bahir Dar"
61,Bluff,NZ,55.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
63,Bubaque,GW,82.24,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
64,Coquimbo,CL,56.93,clear sky,-29.9533,-71.3436,Punto de encuentro
66,Banda Aceh,ID,78.84,overcast clouds,5.5577,95.3222,Sulthan Hotel International
67,La Macarena,CO,77.05,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
68,Eureka,US,64.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
69,Itoman,JP,84.58,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
71,Thompson,CA,56.32,scattered clouds,55.7435,-97.8558,Burntwood Hotel
72,Buta,CD,67.03,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
74,Puerto Del Rosario,ES,71.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
