City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuminskiy,RU,58.6667,66.5667,33.06,76,94,7.58,overcast clouds
1,Kapaa,US,22.0752,-159.319,82.72,72,90,5.01,light rain
2,Zaliztsi,UA,49.7919,25.373,44.74,58,7,10.27,clear sky
3,Atuona,PF,-9.8,-139.0333,78.28,74,19,20.42,few clouds
4,Puerto Ayora,EC,-0.7393,-90.3518,75.16,89,89,9.24,overcast clouds
5,Vaini,TO,-21.2,-175.2,77.16,83,75,12.66,broken clouds
6,Rikitea,PF,-23.1203,-134.9692,73.11,68,24,21.39,few clouds
7,Hermanus,ZA,-34.4187,19.2345,51.91,65,75,1.68,broken clouds
8,Bogovarovo,RU,58.9785,47.0246,43.23,95,100,2.91,overcast clouds
9,Mar Del Plata,AR,-38.0023,-57.5575,55.13,62,90,4.0,overcast clouds
10,Albany,US,42.6001,-73.9662,65.62,83,45,5.91,scattered clouds
11,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.76,100,90,3.44,overcast clouds
12,Mafinga,TZ,-7.25,35.0667,69.21,51,50,2.15,scattered clouds
13,Chumphon,TH,10.3333,98.8333,72.43,93,100,1.66,overcast clouds
14,Yar-Sale,RU,66.8333,70.8333,28.27,87,71,11.01,broken clouds
15,Mataura,NZ,-46.1927,168.8643,54.48,76,100,2.8,overcast clouds
16,Rawson,AR,-43.3002,-65.1023,46.18,44,35,17.29,scattered clouds
17,Qeshm,IR,26.9581,56.2719,86.23,84,43,8.86,scattered clouds
18,Katsuura,JP,35.1333,140.3,73.51,80,1,6.35,clear sky
19,Port Elizabeth,ZA,-33.918,25.5701,51.1,87,75,10.36,light rain
20,Cap-Aux-Meules,CA,47.3821,-61.8597,52.32,73,100,13.47,overcast clouds
21,Souillac,MU,-20.5167,57.5167,71.37,74,46,12.33,scattered clouds
22,Ushuaia,AR,-54.8,-68.3,42.46,75,40,20.71,scattered clouds
23,Jamestown,US,42.097,-79.2353,64.71,76,90,5.95,overcast clouds
24,Constitucion,CL,-35.3333,-72.4167,51.8,55,0,14.9,clear sky
25,Lenger,KZ,42.183,69.8839,36.84,42,0,4.21,clear sky
26,Sinnamary,GF,5.3833,-52.95,80.87,79,97,11.21,overcast clouds
27,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,90,79,7.31,broken clouds
28,Saint-Pierre,RE,-21.3393,55.4781,69.48,69,0,8.05,clear sky
29,Borovoy,RU,55.4333,86.0833,33.08,100,90,6.71,light shower snow
30,Warmbad,NA,-28.45,18.7333,49.87,62,0,8.88,clear sky
31,Avarua,CK,-21.2078,-159.775,75.25,83,90,9.22,light rain
32,Hithadhoo,MV,-0.6,73.0833,82.58,74,16,11.59,few clouds
33,Bethel,US,41.3712,-73.414,67.57,82,1,3.44,clear sky
34,Inuvik,CA,68.3499,-133.7218,34.92,99,100,10.87,overcast clouds
35,Homer,US,59.6425,-151.5483,43.09,63,93,1.99,overcast clouds
36,Guerrero Negro,MX,27.9769,-114.0611,82.53,47,1,13.96,clear sky
37,Alofi,NU,-19.0595,-169.9187,78.69,78,90,17.27,light rain
38,Ponta Do Sol,PT,32.6667,-17.1,72.72,80,4,3.31,clear sky
39,Chuy,UY,-33.6971,-53.4616,54.5,85,48,6.89,scattered clouds
40,Hvide Sande,DK,56.0045,8.1294,58.08,88,100,30.11,moderate rain
41,Lebu,CL,-37.6167,-73.65,48.65,68,6,17.58,clear sky
42,Podor,MR,16.6527,-14.9587,90.16,44,75,1.97,broken clouds
43,Mount Gambier,AU,-37.8333,140.7667,55.31,94,90,10.36,light rain
44,Busselton,AU,-33.65,115.3333,54.05,54,99,13.42,overcast clouds
45,Qaanaaq,GL,77.484,-69.3632,30.15,93,100,16.51,light snow
46,Odweyne,SO,9.4092,45.064,73.72,68,98,5.86,light rain
47,Pangnirtung,CA,66.1451,-65.7125,37.08,84,54,1.28,broken clouds
48,Yellowknife,CA,62.456,-114.3525,47.41,96,100,13.0,overcast clouds
49,Upernavik,GL,72.7868,-56.1549,30.09,74,87,5.86,overcast clouds
50,Smithers,CA,54.7804,-127.1743,49.73,54,10,6.69,clear sky
51,Naze,JP,28.3667,129.4833,79.12,65,0,16.31,clear sky
52,Hobyo,SO,5.3505,48.5268,77.97,89,7,19.64,clear sky
53,Klaksvik,FO,62.2266,-6.589,49.12,90,87,20.36,overcast clouds
54,Morondava,MG,-20.2833,44.2833,73.76,90,5,4.27,clear sky
55,Kavieng,PG,-2.5744,150.7967,84.24,66,81,5.59,broken clouds
56,Soyo,AO,-6.1349,12.3689,74.66,83,69,8.01,broken clouds
57,Provideniya,RU,64.3833,-173.3,29.59,63,1,1.66,clear sky
58,Buarcos,PT,40.166,-8.8768,67.82,99,100,19.55,overcast clouds
59,Cherskiy,RU,68.75,161.3,27.79,96,100,11.21,light snow
60,Bahir Dar,ET,11.5936,37.3908,59.02,89,80,3.42,light rain
61,Bluff,NZ,-46.6,168.3333,55.8,75,98,5.21,overcast clouds
62,Punta Arenas,CL,-53.15,-70.9167,44.71,76,75,20.71,broken clouds
63,Bubaque,GW,11.2833,-15.8333,82.24,77,100,10.36,light rain
64,Coquimbo,CL,-29.9533,-71.3436,56.93,76,0,12.66,clear sky
65,Longyearbyen,SJ,78.2186,15.6401,37.24,93,75,0.0,light rain
66,Banda Aceh,ID,5.5577,95.3222,78.84,84,100,4.76,overcast clouds
67,La Macarena,CO,2.1837,-73.7849,77.05,85,94,3.11,overcast clouds
68,Eureka,US,40.8021,-124.1637,64.2,76,84,5.01,broken clouds
69,Itoman,JP,26.1247,127.6694,84.58,70,20,14.97,few clouds
70,Chokurdakh,RU,70.6333,147.9167,19.69,96,61,4.32,broken clouds
71,Thompson,CA,55.7435,-97.8558,56.32,58,27,3.4,scattered clouds
72,Buta,CD,2.7858,24.73,67.03,100,100,2.53,overcast clouds
73,Qandala,SO,11.472,49.8728,85.42,64,0,1.86,clear sky
74,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,94,0,10.36,clear sky
75,Kaitangata,NZ,-46.2817,169.8464,49.96,80,100,3.0,overcast clouds
76,Dikson,RU,73.5069,80.5464,33.3,98,100,9.22,overcast clouds
77,Bismarck,US,46.8083,-100.7837,73.44,35,1,3.0,clear sky
78,Necochea,AR,-38.5473,-58.7368,49.03,91,82,10.18,light rain
79,Butaritari,KI,3.0707,172.7902,82.29,67,86,18.79,overcast clouds
80,Praia,CV,14.9215,-23.5087,79.34,78,20,9.22,few clouds
81,Mareeba,AU,-17.0,145.4333,86.43,60,22,3.22,few clouds
82,Codrington,AU,-38.2667,141.9667,61.66,75,64,13.13,light rain
83,Sao Filipe,CV,14.8961,-24.4956,79.45,82,44,11.61,scattered clouds
84,New Norfolk,AU,-42.7826,147.0587,57.76,73,99,1.01,overcast clouds
85,Yaan,NG,7.3833,8.5667,74.21,93,28,5.57,scattered clouds
86,Kahului,US,20.8947,-156.47,87.06,75,17,5.01,few clouds
87,Carnarvon,AU,-24.8667,113.6333,59.07,94,40,5.75,scattered clouds
88,Port Lincoln,AU,-34.7333,135.8667,56.55,75,98,26.87,overcast clouds
89,Iqaluit,CA,63.7506,-68.5145,31.73,93,20,0.0,few clouds
90,Roebourne,AU,-20.7833,117.1333,74.21,27,7,13.44,clear sky
91,Cheremshanka,RU,56.1192,60.268,28.15,95,90,4.05,overcast clouds
92,Avera,US,33.194,-82.5271,74.75,48,97,0.58,overcast clouds
93,Dubbo,AU,-32.25,148.6167,62.73,72,39,5.75,light rain
94,Bredasdorp,ZA,-34.5322,20.0403,45.28,72,90,5.68,overcast clouds
95,Mayo,US,38.8876,-76.5119,72.41,87,1,1.99,clear sky
96,Kloulklubed,PW,7.0419,134.2556,83.53,75,93,10.58,overcast clouds
97,Usinsk,RU,65.9939,57.5281,31.69,72,31,3.67,scattered clouds
98,Matongo,TZ,-2.3833,34.0833,70.34,65,81,3.2,broken clouds
99,Kurmanayevka,RU,52.5093,52.0675,48.81,72,100,4.38,overcast clouds
100,Bengkulu,ID,-3.8004,102.2655,75.13,86,61,3.49,broken clouds
101,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,42,12.62,scattered clouds
102,Lavrentiya,RU,65.5833,-171.0,28.83,73,8,6.87,clear sky
103,Port Shepstone,ZA,-30.7414,30.455,56.89,74,100,26.06,overcast clouds
104,Olafsvik,IS,64.8945,-23.7142,40.3,76,100,29.26,overcast clouds
105,Salinopolis,BR,-0.6136,-47.3561,81.0,74,34,13.24,scattered clouds
106,Nome,US,64.5011,-165.4064,37.17,63,30,19.6,scattered clouds
107,Hobart,AU,-42.8794,147.3294,58.12,97,75,5.01,light intensity drizzle
108,Ribeira Grande,PT,38.5167,-28.7,71.78,88,48,11.14,scattered clouds
109,Port Alfred,ZA,-33.5906,26.891,54.28,66,57,23.15,light rain
110,Dingle,PH,10.9995,122.6711,80.53,84,100,2.17,overcast clouds
111,Nanortalik,GL,60.1432,-45.2371,40.08,76,2,6.82,clear sky
112,Nishihara,JP,26.1842,127.7558,83.86,70,20,10.36,few clouds
113,Beringovskiy,RU,63.05,179.3167,34.97,99,99,7.72,overcast clouds
114,Bizhbulyak,RU,53.6967,54.2642,44.49,91,100,3.94,overcast clouds
115,Kainantu,PG,-6.2887,145.8655,71.91,70,100,2.66,overcast clouds
116,Fuerte Olimpo,PY,-21.0415,-57.8738,86.94,42,59,5.84,broken clouds
117,Bathurst,AU,-33.4166,149.5806,57.85,71,67,9.89,broken clouds
118,Brainerd,US,46.358,-94.2008,64.69,85,97,6.55,overcast clouds
119,Nantucket,US,41.2835,-70.0995,66.99,83,21,19.42,few clouds
120,Sitka,US,57.0531,-135.33,45.75,69,99,11.32,light rain
121,Okhotsk,RU,59.3833,143.3,40.21,67,99,14.58,overcast clouds
122,Aykhal,RU,66.0,111.5,28.72,48,96,2.26,overcast clouds
123,Cape Town,ZA,-33.9258,18.4232,52.12,65,61,8.34,broken clouds
124,Deputatskiy,RU,69.3,139.9,17.01,86,52,4.25,broken clouds
125,Diofior,SN,14.1833,-16.6667,70.72,76,44,8.32,scattered clouds
126,Adrar,MR,20.5022,-10.0711,89.2,11,7,7.2,clear sky
127,Ilulissat,GL,69.2167,-51.1,17.73,77,66,7.4,broken clouds
128,Buraydah,SA,26.326,43.975,81.05,15,6,6.35,clear sky
129,Lappeenranta,FI,61.0587,28.1887,42.85,87,0,4.61,clear sky
130,Lompoc,US,34.6391,-120.4579,90.79,58,1,10.36,clear sky
131,Georgetown,MY,5.4112,100.3354,80.53,93,20,1.99,haze
132,Vestmanna,FO,62.1564,-7.1664,47.32,93,75,10.36,broken clouds
133,Port Blair,IN,11.6667,92.75,80.37,80,100,10.07,light rain
134,Quelimane,MZ,-17.8786,36.8883,76.24,67,1,7.43,clear sky
135,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,81,90,11.5,overcast clouds
136,La Ronge,CA,55.1001,-105.2842,59.25,47,90,4.61,overcast clouds
137,Barra Do Corda,BR,-5.5,-45.25,77.92,75,98,1.12,overcast clouds
