City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Devrek,TR,2021-10-02 00:22:05,41.2192,31.9558,48.96,91,8,3.36
1,Saint-Augustin,CA,2021-10-02 00:22:05,51.226,-58.6502,44.19,84,100,24.07
2,Mataura,NZ,2021-10-02 00:19:36,-46.1927,168.8643,57.47,60,100,5.91
3,Volksrust,ZA,2021-10-02 00:22:06,-27.3654,29.8818,55.65,83,84,9.37
4,Kamyshlov,RU,2021-10-02 00:22:06,56.8428,62.7111,32.97,75,79,4.68
5,Rzhaksa,RU,2021-10-02 00:22:07,52.1338,42.0264,42.53,84,47,3.8
6,Rawson,AR,2021-10-02 00:19:51,-43.3002,-65.1023,53.69,52,100,24.38
7,Cayenne,GF,2021-10-02 00:22:08,4.9333,-52.3333,83.08,79,17,1.99
8,Carnarvon,AU,2021-10-02 00:19:31,-24.8667,113.6333,68.07,49,16,12.66
9,Bredasdorp,ZA,2021-10-02 00:19:38,-34.5322,20.0403,46.27,85,81,8.63
10,Muisne,EC,2021-10-02 00:22:09,0.6,-80.0333,74.35,85,82,5.44
11,Ushuaia,AR,2021-10-02 00:19:44,-54.8,-68.3,37.06,81,40,20.71
12,Upernavik,GL,2021-10-02 00:20:25,72.7868,-56.1549,31.42,98,100,9.78
13,Namatanai,PG,2021-10-02 00:20:32,-3.6667,152.4333,85.08,65,97,3.0
14,Isangel,VU,2021-10-02 00:22:10,-19.55,169.2667,77.11,88,90,9.22
15,Qaanaaq,GL,2021-10-02 00:22:11,77.484,-69.3632,28.09,93,100,5.03
16,Fairbanks,US,2021-10-02 00:20:02,64.8378,-147.7164,32.22,93,90,5.75
17,Albany,US,2021-10-02 00:19:52,42.6001,-73.9662,53.92,80,10,5.73
18,Chapais,CA,2021-10-02 00:22:12,49.7834,-74.8492,42.58,69,28,6.46
19,San Cristobal,VE,2021-10-02 00:20:43,7.7669,-72.225,75.38,92,18,2.55
20,Nurota,UZ,2021-10-02 00:22:12,40.5614,65.6886,48.29,45,46,14.29
21,Mazara Del Vallo,IT,2021-10-02 00:22:13,37.6641,12.588,71.55,92,47,15.19
22,Kavaratti,IN,2021-10-02 00:22:13,10.5669,72.642,77.86,83,99,3.22
23,Punta Arenas,CL,2021-10-02 00:19:40,-53.15,-70.9167,37.51,75,0,14.97
24,Vaini,TO,2021-10-02 00:19:42,-21.2,-175.2,77.16,88,75,13.8
25,Gijon,ES,2021-10-02 00:22:15,43.5357,-5.6615,63.86,92,99,2.71
26,Fowa,NG,2021-10-02 00:22:15,8.9167,6.4,73.06,96,96,4.29
27,Hasaki,JP,2021-10-02 00:19:52,35.7333,140.8333,75.6,66,0,6.55
28,Kodiak,US,2021-10-02 00:19:53,57.79,-152.4072,44.11,53,1,17.27
29,Vestmannaeyjar,IS,2021-10-02 00:22:16,63.4427,-20.2734,46.06,83,68,23.44
30,Rikitea,PF,2021-10-02 00:19:34,-23.1203,-134.9692,72.93,73,15,21.25
31,Biloxi,US,2021-10-02 00:20:35,30.396,-88.8853,80.65,81,1,5.75
32,Provideniya,RU,2021-10-02 00:22:17,64.3833,-173.3,29.39,71,74,4.83
33,Sao Filipe,CV,2021-10-02 00:19:37,14.8961,-24.4956,78.64,79,34,7.29
34,Ajdabiya,LY,2021-10-02 00:22:18,30.7554,20.2263,69.93,60,0,11.74
35,Hamilton,US,2021-10-02 00:18:26,39.1834,-84.5333,69.1,65,1,0.0
36,Hobart,AU,2021-10-02 00:20:36,-42.8794,147.3294,60.26,96,75,1.99
37,Iwaki,JP,2021-10-02 00:22:19,37.05,140.8833,76.01,64,23,10.0
38,La Ronge,CA,2021-10-02 00:22:19,55.1001,-105.2842,61.05,48,40,6.91
39,Sitka,US,2021-10-02 00:19:49,57.0531,-135.33,49.89,76,90,20.71
40,Pevek,RU,2021-10-02 00:21:11,69.7008,170.3133,21.25,80,60,8.32
41,Leshan,CN,2021-10-02 00:22:20,29.5623,103.7639,75.43,88,97,0.89
42,Luderitz,NA,2021-10-02 00:22:21,-26.6481,15.1594,57.97,82,27,17.13
43,Cherskiy,RU,2021-10-02 00:19:35,68.75,161.3,19.51,75,60,8.34
44,Vanimo,PG,2021-10-02 00:22:22,-2.6741,141.3028,75.27,97,100,4.23
45,Sur,OM,2021-10-02 00:22:22,22.5667,59.5289,84.54,72,100,5.14
